id,checksum,companies,created_at,description,logo,name,platforms,slug,updated_at,url
1109,ccfa5753-d078-c318-c9f5-0bf927cc318c,,1602450819,,,idTech3,,idtech3,1652082721,https://www.igdb.com/game_engines/idtech3
434,49f7d514-13cf-d867-70cc-2e488348682f,,1487024769,,,Novelty,,novelty,1623976669,https://www.igdb.com/game_engines/novelty
1063,2e781707-9410-5b10-b073-885bc01112c7,,1598557291,,,Cardinal Game Engine,,cardinal-game-engine,1636312503,https://www.igdb.com/game_engines/cardinal-game-engine
1250,ff08b8c7-e4f2-cbfd-6ec0-22c695983656,,1621770651,,,Airem engine,,airem-engine,1621867313,https://www.igdb.com/game_engines/airem-engine
357,d453953c-40c5-4f26-c82a-529f8982faa1,,1466640000,,,Sonic Worlds,,sonic-worlds,1601337600,https://www.igdb.com/game_engines/sonic-worlds
1282,26771780-4ff1-a3f3-5c42-048971a22670,,1626259361,,,Croc 2,,croc-2,1626259361,https://www.igdb.com/game_engines/croc-2
124,bec49e42-1e12-a9a0-a8ff-156223bbf913,,1417442177,,,Treyarch NGL,,treyarch-ngl,1663879973,https://www.igdb.com/game_engines/treyarch-ngl
126,bd87f2dd-b00a-0592-ef85-c6b6224e6f28,[4357],1417478400,,,Kinetica,[8],kinetica,1602460800,https://www.igdb.com/game_engines/kinetica
208,58adbcae-c0b5-5f63-4d6d-7abfc6c62542,,1428776554,,,Zero,,zero,1663893887,https://www.igdb.com/game_engines/zero
1131,a98f7deb-10cd-1d7d-a33d-0948f3e3af3a,,1605571200,,,Steamclock Software,,steamclock-software,1605571200,https://www.igdb.com/game_engines/steamclock-software
1270,3944b45d-c435-b327-d93d-4f502d939f93,,1624675087,,,Nugbase Engine,,nugbase-engine,1624906330,https://www.igdb.com/game_engines/nugbase-engine
1179,423b302c-eefc-e579-cae7-123d954a2e25,,1611187200,,,stockfish,,stockfish,1611273600,https://www.igdb.com/game_engines/stockfish
37,4287412e-7add-2097-1167-8f456acfddc6,,1404777600,,,Quest,,quest,1468627200,https://www.igdb.com/game_engines/quest
1139,786a8f16-e3f0-6e0a-bae9-7470337f4df0,,1607179797,,,Flutter,,flutter,1678672889,https://www.igdb.com/game_engines/flutter
21,f4ee5f76-c1dc-43b1-338b-42b772ff0322,[5851],1402403206,,,TheEngine,"[6, 14]",theengine,1671018439,https://www.igdb.com/game_engines/theengine
1220,c955b86f-7cae-a604-51f4-b87b490f10c8,,1617494960,,,menduz engine,,menduz-engine,1617494960,https://www.igdb.com/game_engines/menduz-engine
33,61f80f59-e58f-db41-a0ea-2409dfba4bda,,1403654400,,,Forgelight Engine,,forgelight-engine,1508976000,https://www.igdb.com/game_engines/forgelight-engine
92,37b6e517-0ab0-2bf2-9ee8-53787d062658,,1414627200,,,XnGine,,xngine,1459814400,https://www.igdb.com/game_engines/xngine
416,06e4eeb7-0b81-3ee3-4a31-28a7cd1aa9ea,,1482371538,,,Evolution Engine,,evolution-engine,1689815144,https://www.igdb.com/game_engines/evolution-engine
93,ff844d8a-1e91-a883-84ab-bc67251bb866,,1414627200,,,Radiant AI,,radiant-ai,1565395200,https://www.igdb.com/game_engines/radiant-ai
1325,a0124904-ac5c-a711-c60b-e637cde50387,,1630867459,,,Taito Type-X2,,taito-type-x2,1630868303,https://www.igdb.com/game_engines/taito-type-x2
1504,a8293815-f705-7914-f4ce-158a0e2dd237,,1685000054,,0,Greenfoot,"[3, 6, 14, 82]",greenfoot,1685001519,https://www.igdb.com/game_engines/greenfoot
608,a594e38c-f8ab-1840-7eef-ab59a6dba244,,1542643400,,,Symbian,,symbian,1630392849,https://www.igdb.com/game_engines/symbian
132,645b40b3-4bd7-680e-281c-09c8fd0ff5d2,,1418515200,,,Voxel Plus,,voxel-plus,1418515200,https://www.igdb.com/game_engines/voxel-plus
1065,1c414f04-99e4-a692-f031-046842da22c7,,1598690385,,,Texture,,texture,1666572444,https://www.igdb.com/game_engines/texture
1073,b50960d9-53ab-8c9d-ba85-418b04f2e35c,,1599696000,,,Varytale,,varytale,1599696000,https://www.igdb.com/game_engines/varytale
1134,c896a6f0-f3ed-d238-c534-5e8ad77d0206,,1606003200,,,skaza engine,,skaza-engine,1606003200,https://www.igdb.com/game_engines/skaza-engine
