id,checksum,created_at,games,name,slug,updated_at,url
1079,ff4e6a86-8c37-ae81-cd34-e0367ad7c483,1414970151,"[8062, 63348, 243939, 245125]",The Cheetahmen,the-cheetahmen,1687479422,https://www.igdb.com/collections/the-cheetahmen
3644,b1213a4f-2404-b64b-71cc-c125e112e04a,1507800520,"[48503, 62614]",Earth Fighter Rayieza,earth-fighter-rayieza,1693489407,https://www.igdb.com/collections/earth-fighter-rayieza
4113,3efca445-5afa-6d8c-db01-5478a3890b21,1507934052,"[61335, 61336, 61337, 61340]",Dynamite Soccer,dynamite-soccer,1684805180,https://www.igdb.com/collections/dynamite-soccer
2799,ff143e54-e920-8dad-ed20-55759987c4ca,1498635683,"[20060, 38658, 143771]",Terra Battle,terra-battle,1692788476,https://www.igdb.com/collections/terra-battle
5305,f4b0eb57-2b9a-0d51-f50a-5c23a19267e7,1516562349,"[82269, 82271]",Nippon Pro Mahjong,nippon-pro-mahjong,1516562349,https://www.igdb.com/collections/nippon-pro-mahjong
5051,4250a758-cf48-6a26-2c2d-5e56a574a446,1512942120,"[5451, 41654, 197937]",Snatcher,snatcher,1692659219,https://www.igdb.com/collections/snatcher
7952,2806f05f-f94a-0686-52f6-53b8c38c187c,1655113011,"[204574, 248634]",Chicken Shoot,chicken-shoot,1687839202,https://www.igdb.com/collections/chicken-shoot
4672,4e4cf26b-f317-4382-c4af-740f5a10ef93,1512851543,"[69104, 69107, 70531]",Diva Girls,diva-girls,1685532695,https://www.igdb.com/collections/diva-girls
2026,878b7e29-9303-a82c-738c-5c1b0a8e9470,1454236521,"[17014, 17015, 17016]",Swordquest,swordquest,1692190023,https://www.igdb.com/collections/swordquest
1644,0b049e8b-0844-6b66-0e4e-b3b5463adee3,1441549078,"[12423, 15479]",Ecstatica,ecstatica,1681399320,https://www.igdb.com/collections/ecstatica
2456,89f13c3c-1dc6-bd0a-386a-1f7e30a9d6f1,1475545771,"[9109, 24645]",Ouendan,ouendan,1691565264,https://www.igdb.com/collections/ouendan
4686,9c283827-44e1-0958-6ed5-61582ffb9868,1512851681,[14940],Lugaru,lugaru,1512851681,https://www.igdb.com/collections/lugaru
8296,74d93294-6a2f-c2ca-61d1-72c696c6359f,1663683724,"[199449, 218252]",Push Up,push-up,1663683825,https://www.igdb.com/collections/push-up
4723,de6db043-7629-7702-5558-970f3190dcc8,1512852339,[11906],Apidya,apidya,1512852339,https://www.igdb.com/collections/apidya
4254,80d6dd4b-f951-a831-5bc9-11ae62b0e9fe,1512110878,"[37570, 37571, 49696, 49697, 49822, 49823, 55139, 55140, 55144, 55145, 66551, 76574, 76575, 79757, 91532, 91534, 126475, 136633, 136832, 136901, 136909, 136953, 136957, 138065, 138117, 188653, 203434, 203512, 204235, 204249, 222459, 228618]",Medarot,medarot,1693489836,https://www.igdb.com/collections/medarot
3892,7174fbc8-5400-04a9-8029-a767c1ecc4e4,1507816114,"[12001, 22151, 35839, 126287]",Chip's Challenge,chips-challenge,1692190353,https://www.igdb.com/collections/chips-challenge
5454,bacd415a-fd9e-1978-a1d0-a7c533e4e3b3,1530612031,"[76058, 104801]",Voice Actress,voice-actress,1675097905,https://www.igdb.com/collections/voice-actress
2331,ea5f9033-c2b0-441f-f967-08870a9f82ff,1469787578,"[21690, 21691]",Hero of Sparta,hero-of-sparta,1685413335,https://www.igdb.com/collections/hero-of-sparta
2210,c5ba2f73-7991-1521-477b-caac7c663a4a,1467118863,"[19803, 20047, 103497, 133922]",Ride,ride,1692881340,https://www.igdb.com/collections/ride
2154,fe3cd86c-9013-ad22-43fa-943d2c4bcc8e,1463310269,"[19193, 19194]",MechCommander,mechcommander,1691760411,https://www.igdb.com/collections/mechcommander
2496,52ff3f0f-f6ec-cfe4-db82-355d6be1293f,1478204887,"[3785, 47304]",American Chopper,american-chopper,1693314053,https://www.igdb.com/collections/american-chopper
2261,99633bc8-6b48-dd43-4fa2-9402c600524c,1468634723,"[6962, 20448]",Deadliest Catch,deadliest-catch,1693314867,https://www.igdb.com/collections/deadliest-catch
