id,checksum,game,game_feature,included_feature,note
1720,9a8ee73e-e71d-de95-939b-c03dabdfe0f4,23161,438,2,
1721,95a16a57-d319-a447-315d-241f788ddbf7,36662,439,0,
1722,22d7b384-1abd-9b67-6a5e-4fa6e7c3f81a,23161,439,1,
1723,918e7754-e1e9-0127-1018-eda0e8570e80,36662,440,0,
1724,e67ce89e-d6a1-98b8-8992-e3b1db63177d,23161,440,1,
1725,24c204fe-1232-83ff-8031-9215bf4bdb93,36662,441,0,
1726,e23413e7-6f85-e937-39c1-31240acac153,23161,441,1,
1727,70ad2869-30d8-cfbf-aaab-40d3ca513ff1,36662,442,0,
1728,d7ed9a54-7999-6426-66cb-22e9e33a837d,23161,442,1,
1729,2f1b266a-209e-baf5-38e0-caa96427f369,36662,443,0,
1730,9e7092d5-a17d-4a8f-73de-971508ba146f,23161,443,1,
1731,7a48e055-83e0-231e-ea22-1341f5d8bd32,36662,444,0,
1732,aba961ca-d8fd-62e4-a309-c3af45efbec2,23161,444,1,
1733,f8a1f19a-0e31-4ab6-63b7-77e818e7f950,36662,445,0,
1734,2281bfa1-2ab9-8811-012b-d7c56e3c2f06,23161,445,1,
1735,decd64c4-cc61-05de-46de-b2c1f6f87ff5,36662,446,0,
1736,d693e2d4-6849-b28a-0aa1-79c668f33155,23161,446,1,
1737,728dc454-1715-611a-ec7f-4daef30308ef,11186,447,0,
1738,064d64c1-5405-7173-0a13-516a3753f3bd,41627,447,1,
1739,61d24a0f-c27f-cbc9-d32d-ae344a6df9a7,51540,447,1,
1740,1aa665dd-b2fc-56fd-7a39-a6c223dd868a,47489,447,1,
1741,b8d5ab79-6b47-c4d4-4cf8-83095e56d844,11186,448,0,
1742,c737e2cd-bd9b-c657-3881-7979dc403e5d,41627,448,1,
1743,06aedab4-47e0-96ff-bab3-a41433719ddd,51540,448,1,
1744,d096856b-447c-7124-b6ad-ad01d31a7e5a,47489,448,1,
1745,ffbe10ed-96c4-7e65-19d2-5b16397cb5d7,11186,449,0,
1746,36efd4c8-dca7-5717-ca74-b19e3e28bdfc,41627,449,1,
1747,47f62c73-ddde-18d9-7c30-cb2d1962d92c,51540,449,1,
1748,aacc0730-0834-9e60-3c51-1e199809eb8e,47489,449,1,
1749,75dd6500-fc16-e824-7959-c0d173cf892d,11186,450,0,
1750,cad872ef-bbcc-eb3c-0e88-0b0ddb622528,41627,450,1,
1751,2da6e2f2-71ec-5d2d-735c-ed15b5c4c457,51540,450,1,
1752,3eec14a7-630d-8622-8cba-a8b5c45c2636,47489,450,1,
1753,ad716be9-4208-9569-f663-a48d30f51133,11186,451,0,
1754,7a51e05e-2ba3-b476-3d6f-3dc5239602c3,41627,451,0,
1755,c4c85d4e-b34d-f33d-821f-e778bf7f6821,51540,451,1,
1756,a55118d0-a453-bd69-7391-44284593632f,47489,451,1,
1757,783d55d6-f4b6-032a-f858-6a68081c92c2,11186,452,0,
1758,6cd3182e-2447-1782-3204-c5d94fe02177,41627,452,0,
1759,5ea78d60-1a43-3b26-00b6-b96936d94929,51540,452,1,
